Key	English
InventoryItemNames/InvItem_695	Fake Beard
InventoryItemDescriptions/InvDesc_695	Looks real to me...
InventoryItemNames/InvItem_696	Cement Fence
InventoryItemDescriptions/InvDesc_696	Its strong!
InventoryItemNames/InvItem_697	Simple Animal Trap
InventoryItemDescriptions/InvDesc_697	Catch some stuff.
InventoryItemNames/InvItem_698	Bottle Brush
InventoryItemDescriptions/InvDesc_698	Could clean a bottle I guess?
InventoryItemNames/InvItem_699	Copper Watering Can
InventoryItemDescriptions/InvDesc_699	Carries water from point A to point B
InventoryItemNames/InvItem_700	Copper Watering Can
InventoryItemDescriptions/InvDesc_700	It's empty. Fill it with water.
InventoryItemNames/InvItem_701	Iron Watering Can
InventoryItemDescriptions/InvDesc_701	Carries water from point A to point B
InventoryItemNames/InvItem_702	Iron Watering Can
InventoryItemDescriptions/InvDesc_702	It's empty. Fill it with water.
InventoryItemNames/InvItem_703	Compost Bin
InventoryItemDescriptions/InvDesc_703	Turn poop and stuff into fertilizer
InventoryItemNames/InvItem_704	Shovel of Sand
InventoryItemDescriptions/InvDesc_704	This big spoon is filled with sand.
InventoryItemNames/InvItem_705	Shovel of Mud
InventoryItemDescriptions/InvDesc_705	This big spoon is filled with mud.
InventoryItemNames/InvItem_706	Shovel of Red Sand
InventoryItemDescriptions/InvDesc_706	This big spoon is filled with red sand.
InventoryItemNames/InvItem_707	Fir Grass Seeds
InventoryItemDescriptions/InvDesc_707	Grows grass!
InventoryItemNames/InvItem_708	Tropical Grass Seeds
InventoryItemDescriptions/InvDesc_708	Grows grass!
InventoryItemNames/InvItem_709	Long Shoes
InventoryItemDescriptions/InvDesc_709	Hard to flip in.
InventoryItemNames/InvItem_710	Tele Pad
InventoryItemDescriptions/InvDesc_710	It's like a Tele tower you can place where you want.
InventoryItemNames/InvItem_711	Tele Caller
InventoryItemDescriptions/InvDesc_711	Call a Tele-Tower from anywhere.
InventoryItemNames/InvItem_712	Black Jacket
InventoryItemDescriptions/InvDesc_712	A nice coloured jacket.
InventoryItemNames/InvItem_713	Black Jeans
InventoryItemDescriptions/InvDesc_713	They could be skinnier...
InventoryItemNames/InvItem_714	White Pants
InventoryItemDescriptions/InvDesc_714	Bright Pants
InventoryItemNames/InvItem_715	White T-Shirt
InventoryItemDescriptions/InvDesc_715	Easy to stain.
InventoryItemNames/InvItem_716	Black Flat Cap
InventoryItemDescriptions/InvDesc_716	It's flat and a cap.
InventoryItemNames/InvItem_717	Black Flanney Shirt
InventoryItemDescriptions/InvDesc_717	Black and warm
InventoryItemNames/InvItem_718	Black Plaid Pants
InventoryItemDescriptions/InvDesc_718	Nice pants.
InventoryItemNames/InvItem_719	Yellow Shorts
InventoryItemDescriptions/InvDesc_719	Easy to wear.
InventoryItemNames/InvItem_720	Yellow T Shirt
InventoryItemDescriptions/InvDesc_720	It's pretty yellow.
InventoryItemNames/InvItem_721	Yellow Boots
InventoryItemDescriptions/InvDesc_721	High Vis
InventoryItemNames/InvItem_722	White Boots
InventoryItemDescriptions/InvDesc_722	Don't scuff these.
InventoryItemNames/InvItem_723	Face Bandana Green
InventoryItemDescriptions/InvDesc_723	Hide your face.
InventoryItemNames/InvItem_724	Face Bandana Black
InventoryItemDescriptions/InvDesc_724	Hide your face.
InventoryItemNames/InvItem_725	Face Bandana Blue
InventoryItemDescriptions/InvDesc_725	Hide your face.
InventoryItemNames/InvItem_726	Face Bandana Orange
InventoryItemDescriptions/InvDesc_726	Hide your face.
InventoryItemNames/InvItem_727	Face Bandana Red
InventoryItemDescriptions/InvDesc_727	Hide your face.
InventoryItemNames/InvItem_728	Large Round Glasses
InventoryItemDescriptions/InvDesc_728	Helps you see. A lot.
InventoryItemNames/InvItem_729	Retro Point Glasses
InventoryItemDescriptions/InvDesc_729	Helps you see. A lot.
InventoryItemNames/InvItem_730	Retro Point Sun Glasses
InventoryItemDescriptions/InvDesc_730	Helps you see. A lot.
InventoryItemNames/InvItem_731	Triangle Glasses
InventoryItemDescriptions/InvDesc_731	Could take an eye out.
InventoryItemNames/InvItem_732	Shutter Shades
